city_id,utcOffset,station,station_id,url,station_name,station_description,station_genre,station_url
ImZ4Qzhn,-240,Hindsight Media Radio FM 103.5,W0ZDqz5H,/listen/hindsight-media-radio-fm-103-5/W0ZDqz5H,Hindsight Media Radio 103.5 FM,Hindsight Media Radio 103.5 FM,TBD,https://www.hindsightmediaradio.com/
BMplqTGe,-180,Fofinho Rock Bar,W0aAFWrv,/listen/fofinho-rock-bar-web-radio/W0aAFWrv,Fofinho Rock Club Radio,,Classic Rock Hard Rock Heavy Metal B-Sides,https://fofinhorockclub.com.br
leMlzS6x,-420,Deep Oldies,W2NHdIvd,/listen/deepoldies/W2NHdIvd,Deep Oldies,,Oldies,http://deepoldies.net
KXcDeFyY,120,Allzic Radio Rock FM,W2OVvldS,/listen/allzic-radio-rock-fm/W2OVvldS,ALLZIC RADIO ROCK,,ROCK,
LFehyk3J,-180,Rádio Top Sul,W2bXhi99,/listen/radio-top-sul/W2bXhi99,webradiotopsul,RÃDIO TOP SUL,,
KXcDeFyY,120,Allzic Radio Annees 80,W5i2FNhE,/listen/allzic-radio-annees-80/W5i2FNhE,AllzicRadio Annï¿½es 80,AllzicRadio Annï¿½es 80,"Rock, TOP 40, classic, 80's",http://allzic08.ice.infomaniak.ch/allzic08.mp3
6t1sKfuZ,120,Balkan Radio Salzburg,W6JLjxwg,/listen/balkan-radio-salzburg/W6JLjxwg,BALKAN RADIO SALZBURG,,Unspecified,https://balkanradiosalzburg.com
iDi8UaTA,180,EBS Local,W9o9g2VP,/listen/ebs-local/W9o9g2VP,EBS | Local,EBS Radio - Local Music,Local,https://www.ebsradio.ro/
zp1e8xJY,720,Cool Blue Taupo FM 107.5,WAY5wY4x,/listen/cool-blue-taupo-fm-107-5/WAY5wY4x,Cool Blue,Cool Blue Taupo,Jazz/Blues,http://www.coolbluetaupo.com
MfAEzsqv,120,JUKA Radio,WAsKpIfV,/listen/juka-radio/WAsKpIfV,Juka Radio,Music 4 JU - Indie und Pop.,Jugendradio,http://laut.fm/juka-radio
NvkKyFxE,120,Europa 2,WBKeRMWM,/listen/europa2/WBKeRMWM,Europa 2,Europa 2,Dance,https://www.europa2.sk
1RzdPXSQ,180,Radio SWH Rock FM 89.2,WBWyjSAK,/listen/radio-swh-rock-fm-89-2/WBWyjSAK,Radio SWH ROCK,SWH ROCK,pop,(NULL)
y6HnXreK,60,Rhubarb Radio,WBvDpb1Y,/listen/rhubarb-radio/WBvDpb1Y,Rhubarb Radio,,Misc,
8sr1pW9m,120,Laganini FM Požega,WCAyuqzW,/listen/laganini-fm/WCAyuqzW,LAGANINI FM POZEGA (MB RECASTER),,To je radio!,http://www.laganini.fm
fd7s5j3X,120,Bollenstreek Omroep,WDOqVw3n,/listen/bollenstreekomroep/WDOqVw3n,BO | Live,BO de omroep van de bollenstreek,Top 40,https://www.bollenstreekomroep.nl
e69JdCdo,-420,KLOG 1490,WDVFtkWw,/listen/klog-1490/WDVFtkWw,Hometeam 100.7 KLOG,,Classic Rock,https://klog.com/
KXcDeFyY,120,Allzic Radio Deep Disco,WDt2bHnt,/listen/allzic-radio-deep-disco/WDt2bHnt,ALLZIC RADIO DEEP DISCO,,DISCO,
iDi8UaTA,180,EBS Blues,WGP8HthG,/listen/ebs-blues/WGP8HthG,EBS | Blues,EBS Radio - Blues Music,Blues,https://www.ebsradio.ro/
rvVa25hx,120,dTER,WGeT2gY8,/listen/dter/WGeT2gY8,DTER,CalÃ© sur le rap,Urban,https://dter.be
FvjSadAL,-240,Radio Vía Austral Coyhaique,WHtx7Kpd,/listen/radio-via-austral-coyhaique/WHtx7Kpd,â¶:,LA RADIO DEL PUEBLO,Unspecified,http://localhost/
ggHSZevL,-180,Rádio Nery,WISoSHtQ,/listen/web-radio-fn/WISoSHtQ,radioneryeamusicadoseculo,Programa: De Volta ao Passado em Forma de MÃºsica,,
mOIYG9ow,180,Smart In Lounge,WJB8bILX,/listen/smart-in-lounge/WJB8bILX,Smart Radio,Smart Radio Lounge,lounge,http://smartradio.ro
FFcztd6Z,-240,cluck old hen,WJyjLJtk,/listen/godtfred-radio/WJyjLJtk,Cluck Old Hen,,Folk,http://cluckoldhen.org
JiLW5qtr,120,Nostalgie Extra 80,WK55NqZk,/listen/nostalgie-extra-80/WK55NqZk,,,Classic Hits,https://nl.nostalgie.be
l63hI2ds,60,Isle of Wight Radio FM 107,WKgk0aDZ,/listen/isle-of-wight-radio-fm-107/WKgk0aDZ,Isle of Wight Radio,,Adult Contemporary,http://iwradio.co.uk
3xVw3888,-300,Metal Devastation Radio,WKp5l776,/listen/metal-devastation-radio/WKp5l776,Metal Devastation Radio,Where Metal Reigns Supreme,Metal,https://metaldevastationradio.com/
CtpxHQ6P,60,Trancetechnic,WLcQtbs8,/listen/trancetechnic/WLcQtbs8,Trancetechnic.UK - The Finest Trance Music 24.7 Commercial Free,,Trance Trance Classics Tech trance Progressive trance House Club Rave,http://www.trancetechnic.uk
8sNco2wU,120,Donau 3 FM,WO3Y0Rb1,/listen/donau-3-fm/WO3Y0Rb1,This is my server name,This is my server description,Rock,http://www.oddsock.org
VN2kXF1W,120,Kunskapsradion FM 92.2,WOcHPb6u,/listen/kunskapsradion-92-2/WOcHPb6u,onair,,Various,http://www.knradio.se
DFYIUBpn,120,Radio Lokura Canción Española,WPQeZIi-,/listen/radio-lokura-cancion-espanola/WPQeZIi-,Stream Name,Default description,Unspecified,http://localhost/
Hww81noL,120,SLAM! Non-stop,WPyB_tzG,/listen/slam-non-stop/WPyB_tzG,SLAM! Nonstop,SLAM! Nonstop,Top 40,https://www.slam.nl/nonstop
LHIaxErZ,120,La Vilaine Radio,WQ1Wo24K,/listen/la-vilaine-radio/WQ1Wo24K,La Vilaine Radio,,Electro Rock Reggae Funk HipHop,www.lavilaineradio.com
aar3CM4o,120,Radio Azzurra,WRsxIlRD,/listen/radio-azzurra/WRsxIlRD,Radio Azzurra,Radio Azzurra,Pop,http://www.radioazzurra.fm
pEICiP4A,-180,Oldies 96,WS0kLQ1E,/listen/oldies-96/WS0kLQ1E,Oldies96,,Oldies,http://oldies96.com
oHjzgFWu,-420,Rclasicos,WSWJ5uId,/listen/rclasicos/WSWJ5uId,Rclasicos - Reproduce tus recuerdos,,Balada,http://rclasicos.com
hFG1a7Dk,120,MegaStarFM,WT5gY2zX,/listen/mega-star-fm/WT5gY2zX,,,,
RsH53YrI,60,MixLive Chillout Essentials,WV6NBoKs,/listen/chillout-essentials-on-mixlive-ie/WV6NBoKs,Chillout Essentials on MixLive.ie,,"Ambient, Chill, Downtempo",http://www.mixlive.ie/stream/chillout-essentials
KW3VtnxN,60,Raidió Rí-Rá,WVFODLVi,/listen/rrr/WVFODLVi,No Name,,Misc,
3FkVwBLm,-240,WLSG Radio 1340 AM - WLSG,WXAtEr9H,/listen/homecominggospel/WXAtEr9H,My Station name,My station description,Various,http://www.audiorealm.com
mOIYG9ow,180,Rock FM Blues,WXDJ1MJf,/listen/rock-fm-blues/WXDJ1MJf,,,,
ufW1jwxo,60,Nation 60s,WXyxi5A9,/listen/nation-60s/WXyxi5A9,,Unspecified description,various,
T6VpIBN4,180,Millennials by Soundtrack24.com,WY2og_zl,/listen/millennials-by-soundtrack24-com/WY2og_zl,Millennials,"You are listening Millennials radio by soundtrack24.com. Music sounds better with Soundtrack24. Weâre a talented tech company providing music radios & background music that puts you in sync with your customers. Music and technology are at our core and shape all that we do, which goes way beyond just playing great music.","All time classics, 80's, 90's, 00's, Pop, Rock",https://www.soundtrack24.com/millennials-radio/
WhPWxwrD,330,Tea Radio,WZ2cBt7Y,/listen/t-radio/WZ2cBt7Y,t-Radio,,,https://www.tearadio.com
iA4KXswx,-240,Psychedelic Jukebox,WZ83EmYA,/listen/psychedelic-jukebox/WZ83EmYA,Psychedelic Jukebox,,Psychedelic,https://www.psychedelicjukebox.com/
cZnWRQfj,180,Libano Հայազգի ձայն,WZQp4bwL,/listen/libano/WZQp4bwL,Libano - ÕÕ¡ÕµÕ¡Õ¦Õ£Õ« ÕÕ¡ÕµÕ¶,ÕÕ¶Õ¡ÖÕ§Ö Õ´Õ«Õ·Õ¿ Libano ÕÕ¡ÕµÕ¡Õ¦Õ£Õ« Õ±Õ¡ÕµÕ¶Õ« Õ¸ÖÕ¶Õ¯Õ¶Õ¤Õ«Ö,Armenian,https://libanohayazkitsayn.wixsite.com/index
mQMqLAyI,-300,Bahia Linda,WZVIwirh,/listen/bahia-linda/WZVIwirh,Bahia Linda Radio,La Digital De Santa Marta,,http://spacial.com
VFyKPYqY,120,Radio Rete 2000,WZsBm58l,/listen/radio-rete-2000/WZsBm58l,(MBStudio),(MBStudio),,https://
Hww81noL,120,100% NL Zomer,W_ex0kt4,/listen/zomer-100-nl/W_ex0kt4,100%NL Pop-Up,,Top 40,https://www.100p.nl/popup
FShfaBOZ,330,radioBollyFM,WaRdyKmQ,/listen/radiobollyfm/WaRdyKmQ,radioBollyFM,,Bollywood,http://www.radiobollyfm.in
6lcXHtKK,120,Planet Discofox,Wc2BGBt1,/listen/planet-disco-fox/Wc2BGBt1,Planet-Discofox,,Various,https://www.Planet-Disco-Fox.de
oM8bN9DO,120,Rock Party Show,WdabeCIu,/listen/rock-party-show/WdabeCIu,Rockpartyshow,,Rock,http://www.rockpartyshow.it
Jz9EFkDQ,180,Radio Keyf Slow,Wdbnjx5U,/listen/keyf-slow/Wdbnjx5U,Karma TÃ¼rk Slow,Solea v4.06.01,TÃ¼rkÃ§e Slow,http://www.radyomadyo.com
3QbMs4L3,120,ON Gold,WddTisc-,/listen/on-gold/WddTisc-,- 0 N - Gold on Radio,"Gold, das klingt! Wertvolle Hits, die vor mehr als einem halben Jahrhundert Geschichte geschrieben haben.","50s, 50er, 60s, 60er, Rock 'n' Roll, Twist, Oldies, Funk, Soul, Pop",http://www.0nradio.com
KXcDeFyY,120,Générations Rohff,WeO2WzXq,/listen/generations-rohff/WeO2WzXq,,,,
J3Bamiy2,120,Salsonradio,WeXF4Ajr,/listen/salsonradio/WeXF4Ajr,salsonradio,salsonradio,latino,http://radio.cyberspazio.tv:2199/start/salsonradio
axJ7kvcU,60,Rádio Clube de Pombal 97fm,WfM9ZZnj,/listen/radio-clube-de-pombal-97fm/WfM9ZZnj,97 FM Radio Clube de Pombal,,Rock,https://www.radios.pt
8iZWhwJj,180,Quran FM 106.0,WfwYbQ50,/listen/quran-fm-106-0/WfwYbQ50,QURAN FM RADIO,VosCast Auto DJ,Assorted,https://quranfm.net
oFfn0QD1,-420,Southern California Singer-Songwriter Radio,Wg-1L4VF,/listen/southern-california-singer-songwriter-radio/Wg-1L4VF,Southern California Singer-Songwriter Radio,Featuring original music from independent singer-songwriters throughout Southern California and beyond.,Independent Singer Songwriter Originals,https://www.socalsingersongwriterradio.com
lCYQZsjD,480,Classic Hits AM 666,WgjDvFoP,/listen/classic-hits-am-666/WgjDvFoP,Punk4Punks,,Punk,http://www.punk4punks.com
P5Zw9OK1,120,Radio Star 2000 FM 99.4,WgvGHt-T,/listen/radio-star-2000-fm-99-4/WgvGHt-T,MB STUDIO,MB STUDIO,Pop,http://www.mbradio.it
-9nFldAw,120,Gässjer FM,Wh4sY7mY,/listen/gaessjer-fm/Wh4sY7mY,GÃ¤ssjer FM,Freies Internetradio Bad Kreuznach,Kultur,https://gaessjer.live
5nKHCmch,180,DFM 90.2 FM,Wh5q2ig3,/listen/dfm/Wh5q2ig3,DFM,Dance Radio,Dance,http://www.dfm.ee
jhLM2UJr,-180,Sardinha Web Rádio,WjTqDWIV,/listen/sardinha-web-radio/WjTqDWIV,sardinhawebradio,ROCKSIDE,,
ncV3FjEI,240,Radio Liwa,WklG8gfY,/listen/radio-liwa/WklG8gfY,Radio Liwa,128,,
vGsQDGqW,60,Serenade Radio,Wn4ZlEx8,/listen/serenade-radio/Wn4ZlEx8,Serenade Radio UK,,Easy Listening,http://www.serenade-radio.com
BolgITFa,720,West FM,WnItD4EO,/listen/west-fm/WnItD4EO,West FM,Swing Radio,Swing,http://westfmradio.com
f6XTVcGH,-300,Christian Power Praise,WoD7OgPE,/listen/christian-power-praise/WoD7OgPE,CPPDN HIGH,,,
9Yi25umJ,-240,Halloween Radio,Woko0hgf,/listen/halloween-radio/Woko0hgf,Halloween Radio Main,Every Halloween we make you scream!,Halloween,https://www.halloweenradio.net
4oT76Ufe,-300,Toque Latino,WpkBGser,/listen/toque-latino/WpkBGser,Toque Latino,rumba streaming,Salsa,http://localhost/
3QbMs4L3,120,ON Schlager,WqeDsqmk,/listen/on-schlager/WqeDsqmk,- 0 N - Schlager on Radio,Hier schlï¿½gt das Schlagerherz! Neuerscheinungen und Kultschlager aus der deutschen Hitparade.,"Schlager, Discofox, World Music, Pop, Various",http://www.0nradio.com
LbmJqSyY,-420,Soma FM Left Coast 70s,WrPWC2wc,/listen/soma-fm-left-coast-70s/WrPWC2wc,Left Coast 70s: Mellow album rock from the Seventies. Yacht friendly. [SomaFM],,Mellow 70s,http://somafm.com
