city_id,latitude,longitude,city,country
AEkOcgWS,-73.49742,41.57864,Sherman CT,United States
WVuwdzIC,7.017369,43.55285,Cannes,France
IKwufngm,112.53345,-7.8830647,Batu,Indonesia
hqIDgHbI,-46.328888,-23.967882,Santos SP,Brazil
2YZcf3oJ,5.366667,52.25,Spakenburg,Netherlands
uxkPya3n,-48.92773,-19.31015,Prata MG,Brazil
PRvc0nJ9,7.1507635,51.256214,Wuppertal,Germany
fSok80Ns,-108.50069,45.783287,Billings MT,United States
jfPfHZDd,-58.381557,-34.603683,Buenos Aires,Argentina
8uotztrv,11.581981,48.135124,Munich,Germany
DrLUylML,175.60822,-40.352306,Palmerston North,New Zealand
MKX233O4,-45.556355,-23.020456,Taubaté SP,Brazil
4Ogyv8K6,-77.10579,38.882812,Arlington VA,United States
J3Bamiy2,9.185925,45.465424,Milan,Italy
qfl6lVCy,28.634813,44.1598,Constanța,Romania
1_L2UYI-,11.785876,45.426743,Rubano,Italy
xphEgrZk,-34.876965,-8.047563,Recife PE,Brazil
JcETiRso,-66.9036,10.480594,Caracas,Venezuela
wTMtg11H,-83.687454,43.012527,Flint MI,United States
5YFjEtAG,11.342616,44.49489,Bologna,Italy
dLnmoass,60.6057,56.838924,Yekaterinburg,Russia
LbmJqSyY,-122.41942,37.77493,San Francisco CA,United States
OKbHNN8d,27.561525,53.90454,Minsk,Belarus
CG2Y3KwD,5.06576,44.526215,Dieulefit,France
seU6w0O1,32.85974,39.933365,Ankara,Turkey
LtLwJ8JN,11.146754,43.472565,Poggibonsi,Italy
yCHPcqOb,13.5749445,42.853603,Ascoli Piceno,Italy
D1wk1w5c,-87.6298,41.878113,Chicago IL,United States
96jQqeTK,-48.65894,-26.079933,Itapoá SC,Brazil
k3rgA6Jf,8.682127,50.110924,Frankfurt am Main,Germany
XYEGTunV,13.478542,43.488403,Osimo,Italy
vqzAr1BQ,-79.38319,43.653225,Toronto,Canada
uC7s3fqj,23.321867,42.69771,Sofia,Bulgaria
F948IRMh,-46.56193,-21.78538,Poços de Caldas MG,Brazil
m9daGUqC,-71.05888,42.36008,Boston MA,United States
e4GnqMaI,-72.65034,7.37823,Pamplona,Colombia
np2AtgZZ,21.67907,50.572906,Tarnobrzeg,Poland
6PyjGw08,7.6868563,45.070312,Turin,Italy
80GpZGZ7,15.443559,43.937305,Biograd na Moru,Croatia
tBJc4NCI,16.948917,40.887318,Sammichele di Bari,Italy
RTtRuZU9,117.35066,-34.961765,Denmark,Australia
Fx0iFtLp,3.152242,42.404083,Colera,Spain
xFq7ZScO,16.871872,41.11714,Bari,Italy
0Kf3iMme,28.86381,47.010452,Chișinău,Moldova
lo4LFM8P,13.212229,55.641064,Staffanstorp,Sweden
AzcHXd6f,-86.48449,13.628903,Ocotal,Nicaragua
4oT76Ufe,-76.53198,3.4516468,Cali,Colombia
9ukLCeap,-87.51254,41.56448,Munster IN,United States
xdFoGP7o,-4.4212656,36.72126,Málaga,Spain
T6VpIBN4,22.94442,40.640064,Thessaloniki,Greece
pymCzmT2,2.125537,50.98707,Gravelines,France
BMplqTGe,-46.63331,-23.55052,São Paulo SP,Brazil
i5kKRv6A,29.220455,-26.94382,Standerton,South Africa
o1ow8bzJ,-55.98599,-31.720684,Tacuarembó,Uruguay
GTocFeP7,5.0641947,51.523678,Goirle,Netherlands
ZIUFSpFP,-73.81822,5.312024,Ubaté,Colombia
nfRRKSsS,4.6116858,50.63625,Mont-Saint-Guibert,Belgium
o5ZJ7lQK,12.496366,41.902782,Rome,Italy
pDcbNDFG,20.64717,38.251415,Sami,Greece
JiLW5qtr,4.4024644,51.219448,Antwerp,Belgium
hLYmBNlA,-2.12882,52.58697,Wolverhampton,United Kingdom
